from,to,weight
4672181296,4672181392,1.0
4672181296,4672181680,1.0
4672181488,4672181392,1.0
4672181488,4672181680,1.0
4672181392,4672181584,1.0
4672181392,4672181872,1.0
4672181680,4672181584,1.0
4672181680,4672181872,1.0
4672181584,4672181776,1.0
4672181584,4672182064,1.0
4672181872,4672181776,1.0
4672181872,4672182064,1.0
4672181776,4672181968,1.0
4672181776,4672182256,1.0
4672182064,4672181968,1.0
4672182064,4672182256,1.0
4672181968,4672181296,1.0
4672181968,4672181488,1.0
4672182256,4672181296,1.0
4672182256,4672181488,1.0
4672183504,4672183600,1.0
4672183504,4672183888,1.0
4672183696,4672183600,1.0
4672183696,4672183888,1.0
4672183600,4672183792,1.0
4672183600,4672184080,1.0
4672183888,4672183792,1.0
4672183888,4672184080,1.0
4672183792,4672183984,1.0
4672183792,4672184272,1.0
4672184080,4672183984,1.0
4672184080,4672184272,1.0
4672183984,4672184176,1.0
4672183984,4672254160,1.0
4672184272,4672184176,1.0
4672184272,4672254160,1.0
4672184176,4672183504,1.0
4672184176,4672183696,1.0
4672254160,4672183504,1.0
4672254160,4672183696,1.0
4672255408,4672255504,1.0
4672255408,4672255792,1.0
4672255600,4672255504,1.0
4672255600,4672255792,1.0
4672255504,4672255696,1.0
4672255504,4672255984,1.0
4672255792,4672255696,1.0
4672255792,4672255984,1.0
4672255696,4672255888,1.0
4672255696,4672256176,1.0
4672255984,4672255888,1.0
4672255984,4672256176,1.0
4672255888,4672256080,1.0
4672255888,4672256368,1.0
4672256176,4672256080,1.0
4672256176,4672256368,1.0
4672256080,4672255408,1.0
4672256080,4672255600,1.0
4672256368,4672255408,1.0
4672256368,4672255600,1.0
4672257616,4672257712,1.0
4672257616,4672258000,1.0
4672257808,4672257712,1.0
4672257808,4672258000,1.0
4672257712,4672257904,1.0
4672257712,4672270544,1.0
4672258000,4672257904,1.0
4672258000,4672270544,1.0
4672257904,4672270448,1.0
4672257904,4672270736,1.0
4672270544,4672270448,1.0
4672270544,4672270736,1.0
4672270448,4672270640,1.0
4672270448,4672270928,1.0
4672270736,4672270640,1.0
4672270736,4672270928,1.0
4672270640,4672257616,1.0
4672270640,4672257808,1.0
4672270928,4672257616,1.0
4672270928,4672257808,1.0
4672272176,4672272272,1.0
4672272176,4672272560,1.0
4672272368,4672272272,1.0
4672272368,4672272560,1.0
4672272272,4672272464,1.0
4672272272,4672272752,1.0
4672272560,4672272464,1.0
4672272560,4672272752,1.0
4672272464,4672272656,1.0
4672272464,4672272944,1.0
4672272752,4672272656,1.0
4672272752,4672272944,1.0
4672272656,4672272848,1.0
4672272656,4672273136,1.0
4672272944,4672272848,1.0
4672272944,4672273136,1.0
4672272848,4672272176,1.0
4672272848,4672272368,1.0
